what,kind,bundleId,bundleVersion,description,time
started,bundle,com.google.gdt.eclipse.maven,2.5.1.v201201120043-rel-r37,"com.google.gdt.eclipse.maven",1334247160875
started,bundle,com.google.gdt.eclipse.platform.e36,2.5.1.v201201120043-rel-r36,"com.google.gdt.eclipse.platform.e36",1334247160875
started,bundle,com.google.gdt.eclipse.suite,2.5.1.v201201120043-rel-r37,"com.google.gdt.eclipse.suite",1334247160875
started,bundle,com.google.gdt.eclipse.suite.ext,2.5.1.v201201120043-rel-r37,"com.google.gdt.eclipse.suite.ext",1334247160875
started,bundle,org.eclipse.wb.core,1.2.0.r37x201112290923,"org.eclipse.wb.core",1334247160875
started,bundle,org.eclipse.wb.core.lib,1.2.0.r37x201112290923,"org.eclipse.wb.core.lib",1334247160875
os,sysinfo,,,"win32",1334247160923
arch,sysinfo,,,"x86",1334247160923
ws,sysinfo,,,"win32",1334247160923
locale,sysinfo,,,"zh_CN",1334247160923
processors,sysinfo,,,"2",1334247160923
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1334247160923
java.runtime.version,sysinfo,,,"1.7.0-b147",1334247160923
java.specification.name,sysinfo,,,"Java Platform API Specification",1334247160923
java.specification.vendor,sysinfo,,,"Oracle Corporation",1334247160923
java.specification.version,sysinfo,,,"1.7",1334247160923
java.vendor,sysinfo,,,"Oracle Corporation",1334247160923
java.version,sysinfo,,,"1.7.0",1334247160923
java.vm.info,sysinfo,,,"mixed mode, sharing",1334247160923
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1334247160923
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1334247160923
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1334247160923
java.vm.specification.version,sysinfo,,,"1.7",1334247160923
java.vm.vendor,sysinfo,,,"Oracle Corporation",1334247160923
java.vm.version,sysinfo,,,"21.0-b17",1334247160923
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1334247161284
started,bundle,org.eclipse.jst.servlet.ui,1.1.501.v201108220630,"org.eclipse.jst.servlet.ui",1334247162024
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1334247167144
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1334247172208
started,bundle,org.jboss.tools.project.examples,1.2.1.v20111213-1557-H39-M5,"org.jboss.tools.project.examples",1334247185222
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1334247186506
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1334247188480
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1334247189060
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1334247190376
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1334247190446
opened,editor,org.jboss.tools.central,1.0.0.v20111213-1606-H19-M5,"org.jboss.tools.central.editors.JBossCentralEditor",1334247199838
activated,editor,org.jboss.tools.central,1.0.0.v20111213-1606-H19-M5,"org.jboss.tools.central.editors.JBossCentralEditor",1334247200872
started,bundle,org.eclipse.equinox.p2.ui,2.1.0.v20110601,"org.eclipse.equinox.p2.ui",1334247201956
started,bundle,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.ui",1334247209955
