what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1367223568379
locale,sysinfo,,,"zh_CN",1367223568379
processors,sysinfo,,,"2",1367223568379
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1367223568379
java.runtime.version,sysinfo,,,"1.7.0_13-b20",1367223568379
java.specification.name,sysinfo,,,"Java Platform API Specification",1367223568379
java.specification.vendor,sysinfo,,,"Oracle Corporation",1367223568379
java.specification.version,sysinfo,,,"1.7",1367223568379
java.vendor,sysinfo,,,"Oracle Corporation",1367223568379
java.version,sysinfo,,,"1.7.0_13",1367223568379
java.vm.info,sysinfo,,,"mixed mode, sharing",1367223568379
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1367223568379
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1367223568379
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1367223568379
java.vm.specification.version,sysinfo,,,"1.7",1367223568379
java.vm.vendor,sysinfo,,,"Oracle Corporation",1367223568379
java.vm.version,sysinfo,,,"23.7-b01",1367223568379
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1367223568416
started,bundle,org.eclipse.wb.core.lib,1.2.0.r37x201112290923,"org.eclipse.wb.core.lib",1367223569065
started,bundle,org.hibernate.eclipse.console,3.4.0.v20111213-1944-H40-M5,"org.hibernate.eclipse.console",1367223569740
started,bundle,org.eclipse.wb.core,1.2.0.r37x201112290923,"org.eclipse.wb.core",1367223569957
started,bundle,org.tigris.subversion.subclipse.core,1.0.7,"org.tigris.subversion.subclipse.core",1367223570730
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1367223571370
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1367223571463
started,bundle,com.google.gdt.eclipse.designer,2.5.0.r37x201112291029,"com.google.gdt.eclipse.designer",1367223572108
started,bundle,com.google.gdt.eclipse.designer.hosted,2.5.0.r37x201112291019,"com.google.gdt.eclipse.designer.hosted",1367223572459
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.5.0.r37x201112291029,"com.google.gdt.eclipse.designer.UiBinder",1367223572800
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1367223573984
started,bundle,com.google.appengine.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.appengine.eclipse.core",1367223574254
started,bundle,com.google.gdt.eclipse.appengine.rpc,2.5.1.v201201120043-rel-r37,"com.google.gdt.eclipse.appengine.rpc",1367223574555
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1367223574766
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1367223574957
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1367223575398
started,bundle,org.tigris.subversion.subclipse.ui,1.0.5,"org.tigris.subversion.subclipse.ui",1367223576163
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1367223577108
started,bundle,org.eclipse.jst.servlet.ui,1.1.501.v201108220630,"org.eclipse.jst.servlet.ui",1367223578160
started,bundle,org.jboss.tools.jst.jsp,3.3.0.v20111208-2115-H35-M5,"org.jboss.tools.jst.jsp",1367223805430
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367223808116
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367223930900
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367223931049
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367223933860
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367223934110
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367223934198
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367223934207
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1367223936504
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367223936507
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1367223937443
started,bundle,org.jboss.ide.eclipse.archives.core,3.2.1.v20111208-2106-H38-M5,"org.jboss.ide.eclipse.archives.core",1367223937889
started,bundle,org.jboss.ide.eclipse.archives.webtools,2.3.0.v20111213-1423-H61-M5,"org.jboss.ide.eclipse.archives.webtools",1367223937945
